site_id,region,site_age,site_age_z,true_event
S01,North,13.802330028585391,-0.406321454275667,0
S02,North,15.374385515667496,-0.2048168083478212,0
S03,North,16.694971004144385,-0.03554535866960168,1
S04,North,8.018716427193665,-1.147659797933665,0
S05,North,27.42042238421855,1.3392332674777698,1
S06,North,12.238424733539556,-0.6067814159833903,0
S07,South,15.73064889838786,-0.15915129120671134,1
S08,South,11.88083829575909,-0.6526165211216282,1
S09,South,10.32295422836446,-0.8523046873323875,1
S10,South,10.460509336209755,-0.8346729984195616,0
S11,South,8.254903667019825,-1.1173855318375088,0
S12,South,8.981531366956515,-1.0242470525660956,0
S13,Central,19.275194870538165,0.2951853953556867,0
S14,Central,35.61066838391059,2.3890515682892515,1
S15,Central,21.641555735316295,0.5985033838827194,1
S16,Central,26.77966275856393,1.2571012800553367,1
S17,Central,29.53501662979196,1.61028003919587,1
S18,Central,30.319058972592345,1.7107778752943097,1
S19,West,14.583573229274228,-0.3061824096732807,0
S20,West,18.816950922958775,0.23644810194312907,1
S21,West,11.363180149368215,-0.7189694726283011,0
S22,West,9.8921177781892915,-0.9075289125958964,1
S23,West,18.143433526708336,0.15011725320852456,1
S24,West,12.193697968751165,-0.6125144521110852,0
