site_id,survey_id,region,site_age,site_age_z,true_event,cloud_cover,cloud_cover_z,sensor_advanced,sensor_type,detected
S01,1,North,13.802330028585391,-0.406321454275667,0,66.13979990218722,0.17117533009125274,0,basic,0
S01,2,North,13.802330028585391,-0.406321454275667,0,40.22264087677584,-1.9556968591868014,0,basic,0
S01,3,North,13.802330028585391,-0.406321454275667,0,30.783763043738332,-2.730291279099766,1,advanced,0
S01,4,North,13.802330028585391,-0.406321454275667,0,73.43181097961948,0.7695887421975592,1,advanced,0
S02,1,North,15.374385515667495,-0.2048168083478212,0,61.47738766181078,-0.21144202851982813,0,basic,0
S02,2,North,15.374385515667495,-0.2048168083478212,0,70.7227276178238,0.5472698508796596,1,advanced,0
S02,3,North,15.374385515667495,-0.2048168083478212,0,47.42019412120381,-1.3650350581995738,1,advanced,0
S02,4,North,15.374385515667495,-0.2048168083478212,0,77.07877011639161,1.0688737045589387,1,advanced,0
S03,1,North,16.694971004144385,-0.035545358669601686,1,72.2722679212,0.6744317120306048,1,advanced,1
S03,2,North,16.694971004144385,-0.035545358669601686,1,47.74113232901052,-1.3386975052296837,1,advanced,1
S03,3,North,16.694971004144385,-0.035545358669601686,1,52.97863552553145,-0.9088857392481896,1,advanced,1
S03,4,North,16.694971004144385,-0.035545358669601686,1,84.19311188170619,1.6527068180121112,0,basic,0
S04,1,North,8.018716427193665,-1.1476597979336647,0,72.77694233986311,0.7158474391418294,1,advanced,0
S04,2,North,8.018716427193665,-1.1476597979336647,0,61.13091849257389,-0.23987476066341293,1,advanced,0
S04,3,North,8.018716427193665,-1.1476597979336647,0,64.2463475490454,0.015790584885503302,1,advanced,0
S04,4,North,8.018716427193665,-1.1476597979336647,0,72.80834243656298,0.7184242644931772,1,advanced,0
S05,1,North,27.420422384218554,1.3392332674777698,1,75.3982413172968,0.930962370891113,1,advanced,0
S05,2,North,27.420422384218554,1.3392332674777698,1,59.92178365030386,-0.3391015033241247,1,advanced,1
S05,3,North,27.420422384218554,1.3392332674777698,1,55.635337276666334,-0.6908655054658182,1,advanced,1
