site_id,occ_prob_mean,occ_prob_lo,occ_prob_hi,region,site_age,site_age_z,true_event
S01,0.0015974565811584037,2.8594489273563323e-7,0.010719139398798207,North,13.802330028585391,-0.406321454275667,0
S06,0.003290560964425386,1.6744897409621228e-6,0.027397347222419325,North,12.238424733539556,-0.6067814159833903,0
S04,0.0034724119298132476,7.544992658679878e-7,0.028346788813299488,North,8.018716427193665,-1.147659797933665,0
S02,0.0176264796453215,8.507276900492674e-5,0.11209937131294717,North,15.374385515667496,-0.2048168083478212,0
S24,0.021465673946298017,1.0480374808130763e-4,0.12154082574572143,West,12.193697968751165,-0.6125144521110852,0
S10,0.037914504182616354,8.900213876864147e-4,0.22573866160363554,South,10.460509336209755,-0.8346729984195616,0
S12,0.039201160107042304,0.0012360572079721465,0.2056016583546318,South,8.981531366956515,-1.0242470525660956,0
S11,0.04326970290382403,0.0014346178673550513,0.22015222214736138,South,8.254903667019825,-1.1173855318375088,0
S21,0.044500485466816946,8.362121570052803e-4,0.24844682118848757,West,11.363180149368215,-0.7189694726283011,0
S19,0.11401872481851813,0.004168578607334855,0.7323567915865329,West,14.583573229274228,-0.3061824096732807,0
S13,0.12516474360157118,4.917602696185737e-4,0.9892756665880863,Central,19.275194870538165,0.2951853953556867,0
S07,0.3979485087031362,0.04016359107425209,0.9934878807728749,South,15.73064889838786,-0.15915129120671134,1
S17,0.6172361730231603,0.03132586165707619,0.9999995113039012,Central,29.53501662979196,1.61028003919587,1
S03,1,1,1,North,16.694971004144385,-0.03554535866960168,1
S05,1,1,1,North,27.42042238421855,1.3392332674777698,1
S08,1,1,1,South,11.88083829575909,-0.6526165211216282,1
S09,1,1,1,South,10.32295422836446,-0.8523046873323875,1
S14,1,1,1,Central,35.61066838391059,2.3890515682892515,1
S15,1,1,1,Central,21.641555735316295,0.5985033838827194,1
S16,1,1,1,Central,26.77966275856393,1.2571012800553367,1
S18,1,1,1,Central,30.319058972592345,1.7107778752943097,1
S20,1,1,1,West,18.816950922958775,0.23644810194312907,1
S22,1,1,1,West,9.8921177781892915,-0.9075289125958964,1
S23,1,1,1,West,18.143433526708336,0.15011725320852456,1
